		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/04/13	0:10	15.7	15.8	15.7	60	8.0	7.2	SW	4.29	15.6	W	12.6	15.0	11.8	10.4	1002.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.018	0.000	19.6	43	6.6	18.4	0.00	226	2	100.0	10
01/04/13	0:20	15.6	15.7	15.6	60	7.8	5.8	WSW	3.49	13.0	WSW	12.9	14.8	12.2	10.7	1002.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.019	0.000	19.6	43	6.6	18.4	0.00	229	2	100.0	10
01/04/13	0:30	15.6	15.6	15.6	60	7.8	6.3	SW	3.76	13.4	SW	12.7	14.8	12.0	10.6	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.019	0.000	19.6	43	6.6	18.4	0.00	215	2	96.8	10
01/04/13	0:40	15.7	15.7	15.6	59	7.7	9.4	WSW	5.63	18.8	SW	11.8	15.0	11.1	9.9	1001.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.018	0.000	19.6	43	6.6	18.4	0.00	217	2	97.7	10
01/04/13	0:50	15.9	15.9	15.7	58	7.6	7.2	SW	4.29	13.9	SW	12.7	15.1	11.9	10.6	1001.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.017	0.000	19.6	43	6.6	18.4	0.00	227	2	100.0	10
01/04/13	1:00	15.6	16.0	15.6	63	8.5	7.2	SW	4.29	16.5	WSW	12.3	14.9	11.7	10.3	1002.0	0.20	0.0	0	0.00	0	0.0	0.00	0.0	0.019	0.000	19.6	43	6.6	18.4	0.13	226	2	100.0	10
01/04/13	1:10	15.2	15.6	15.2	64	8.4	7.6	SW	4.56	16.1	SSE	11.7	14.6	11.2	9.8	1002.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.022	0.000	19.6	43	6.6	18.4	0.00	194	2	87.4	10
01/04/13	1:20	15.1	15.2	15.1	65	8.5	7.6	WSW	4.56	14.3	WSW	11.6	14.5	11.1	9.7	1001.9	0.40	5.4	0	0.00	0	0.0	0.00	0.0	0.023	0.000	19.6	43	6.6	18.4	0.00	191	2	86.0	10
01/04/13	1:30	14.9	15.1	14.9	65	8.4	6.7	SW	4.02	15.6	SSW	11.8	14.3	11.2	9.8	1002.1	0.60	4.6	0	0.00	0	0.0	0.00	0.0	0.024	0.000	19.6	43	6.6	18.4	0.00	174	2	78.4	10
01/04/13	1:40	14.7	14.9	14.7	67	8.7	8.0	SW	4.83	17.9	WSW	11.1	14.2	10.6	9.3	1002.1	0.60	5.4	0	0.00	0	0.0	0.00	0.0	0.025	0.000	19.6	43	6.6	18.4	0.00	181	2	81.5	10
