		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/08/13	0:10	29.2	29.4	29.2	25	7.2	0.0	SSE	0.00	1.3	SSE	29.2	27.8	27.8	25.8	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.00	228	2	100.0	10
01/08/13	0:20	29.0	29.2	29.0	24	6.4	0.9	SSE	0.54	2.7	E	29.0	27.6	27.6	25.6	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	30.8	23	7.3	29.1	0.00	229	2	100.0	10
01/08/13	0:30	29.1	29.1	28.9	23	5.9	2.2	E	1.34	6.3	SE	29.1	27.6	27.6	25.6	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.075	30.8	23	7.3	29.1	0.00	227	2	100.0	10
01/08/13	0:40	29.3	29.3	29.1	22	5.4	1.3	ESE	0.80	5.4	E	29.3	27.7	27.7	25.7	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.00	229	2	100.0	10
01/08/13	0:50	29.2	29.3	29.2	22	5.3	0.9	E	0.54	2.2	E	29.2	27.6	27.6	25.6	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.00	227	2	100.0	10
01/08/13	1:00	29.3	29.3	29.2	22	5.4	0.4	E	0.27	1.8	E	29.3	27.7	27.7	25.7	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.08	229	2	100.0	10
01/08/13	1:10	29.2	29.3	29.2	22	5.3	0.4	E	0.27	1.8	E	29.2	27.6	27.6	25.6	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.00	229	2	100.0	10
01/08/13	1:20	29.2	29.2	29.2	22	5.3	0.0	E	0.00	1.3	E	29.2	27.6	27.6	25.6	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	30.8	23	7.3	29.1	0.00	228	2	100.0	10
01/08/13	1:30	29.0	29.2	29.0	22	5.1	0.9	E	0.54	2.2	E	29.0	27.4	27.4	25.4	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	30.8	23	7.3	29.1	0.00	229	2	100.0	10
01/08/13	1:40	28.9	29.0	28.9	22	5.1	1.3	SSE	0.80	2.7	SSE	28.9	27.4	27.4	25.4	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	30.7	23	7.2	29.1	0.00	228	2	100.0	10
01/08/13	1:50	28.8	28.9	28.8	22	5.0	1.8	SSE	1.07	9.4	ESE	28.8	27.3	27.3	25.2	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.073	30.7	23	7.2	29.1	0.00	229	2	100.0	10
01/08/13	2:00	28.8	28.9	28.8	23	5.6	0.9	E	0.54	3.6	E	28.8	27.3	27.3	25.3	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.073	30.7	23	7.2	29.1	0.08	229	2	100.0	10
01/08/13	2:10	28.7	28.8	28.7	23	5.5	0.4	E	0.27	2.7	E	28.7	27.2	27.2	25.2	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	30.7	23	7.2	29.1	0.00	227	2	100.0	10
01/08/13	2:20	28.3	28.7	28.3	24	5.8	0.9	E	0.54	2.7	E	28.3	26.8	26.8	24.8	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	30.7	23	7.2	29.1	0.00	228	2	100.0	10
01/08/13	2:30	28.2	28.3	28.2	23	5.1	0.4	E	0.27	1.8	E	28.2	26.6	26.6	24.6	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	30.7	23	7.2	29.1	0.00	228	2	100.0	10
01/08/13	2:40	27.8	28.2	27.8	24	5.4	0.9	E	0.54	2.2	E	27.8	26.4	26.4	24.4	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	30.7	23	7.2	29.1	0.00	229	2	100.0	10
01/08/13	2:50	27.8	27.8	27.8	25	6.0	0.4	E	0.27	1.8	E	27.8	26.4	26.4	24.4	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	30.7	23	7.2	29.1	0.00	228	2	100.0	10
01/08/13	3:00	27.6	27.8	27.6	25	5.8	0.4	E	0.27	1.8	E	27.6	26.2	26.2	24.2	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	30.7	23	7.2	29.1	0.05	229	2	100.0	10
01/08/13	3:10	27.4	27.6	27.4	25	5.6	0.4	E	0.27	1.8	E	27.4	25.9	25.9	23.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.063	30.7	23	7.2	29.1	0.00	229	2	100.0	10
01/08/13	3:20	27.3	27.4	27.3	25	5.6	0.4	E	0.27	1.8	E	27.3	25.9	25.9	23.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.6	23	7.1	28.9	0.00	228	2	100.0	10
01/08/13	3:30	27.3	27.3	27.2	24	5.0	1.3	E	0.80	4.5	ESE	27.3	25.8	25.8	23.8	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.6	23	7.1	28.9	0.00	228	2	100.0	10
01/08/13	3:40	27.3	27.3	27.3	25	5.6	1.3	E	0.80	3.1	E	27.3	25.9	25.9	23.9	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	3:50	27.2	27.3	27.2	25	5.5	0.0	E	0.00	0.9	E	27.2	25.8	25.8	23.8	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	4:00	27.1	27.2	27.1	25	5.4	0.0	---	0.00	0.0	---	27.1	25.7	25.7	23.7	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	30.6	24	7.7	29.0	0.05	228	2	100.0	10
01/08/13	4:10	26.8	27.1	26.8	26	5.7	0.0	E	0.00	0.4	E	26.8	25.4	25.4	23.4	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.059	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	4:20	26.5	26.8	26.5	26	5.4	0.0	E	0.00	1.8	E	26.5	25.2	25.2	23.2	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.057	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	4:30	25.9	26.5	25.9	28	6.0	0.4	E	0.27	2.2	E	25.9	24.9	24.9	22.9	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.053	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	4:40	25.6	25.9	25.6	27	5.2	0.9	E	0.54	3.1	E	25.6	24.6	24.6	22.6	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	4:50	25.3	25.6	25.3	27	4.9	0.4	E	0.27	1.8	E	25.3	24.4	24.4	22.4	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.048	30.6	24	7.7	29.0	0.00	227	2	100.0	10
01/08/13	5:00	25.4	25.4	25.3	28	5.6	0.9	E	0.54	3.1	ENE	25.4	24.6	24.6	22.6	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	30.6	24	7.7	29.0	0.05	229	2	100.0	10
01/08/13	5:10	25.8	25.8	25.4	27	5.4	2.2	ENE	1.34	4.0	E	25.8	24.7	24.7	22.7	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.052	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	5:20	25.8	25.9	25.8	27	5.4	1.8	NE	1.07	3.1	NE	25.8	24.7	24.7	22.7	1009.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.052	30.6	24	7.7	29.0	0.00	227	2	100.0	10
01/08/13	5:30	25.7	25.8	25.7	28	5.8	1.3	NE	0.80	3.1	NE	25.7	24.7	24.7	22.7	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.051	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	5:40	25.4	25.7	25.4	28	5.6	1.3	NE	0.80	2.7	NE	25.4	24.6	24.6	22.6	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	5:50	25.4	25.4	25.4	27	5.0	0.0	NE	0.00	0.9	NE	25.4	24.5	24.5	22.5	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	6:00	25.3	25.4	25.3	28	5.5	0.0	---	0.00	0.0	---	25.3	24.4	24.4	22.4	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.048	30.6	24	7.7	29.0	0.05	228	2	100.0	10
01/08/13	6:10	25.2	25.3	25.2	28	5.4	0.0	---	0.00	0.0	---	25.2	24.4	24.4	22.4	1009.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	6:20	25.2	25.2	25.2	29	5.9	0.0	NE	0.00	0.4	NE	25.2	24.4	24.4	22.4	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	6:30	25.1	25.2	25.1	30	6.3	0.4	NE	0.27	1.3	NE	25.1	24.4	24.4	22.4	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.047	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	6:40	24.9	25.1	24.9	31	6.6	0.9	NE	0.54	3.1	NE	24.9	24.3	24.3	22.3	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	6:50	24.9	24.9	24.9	31	6.6	0.0	WSW	0.00	0.9	WSW	24.9	24.2	24.2	22.3	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	7:00	24.7	24.9	24.7	32	6.9	0.0	---	0.00	0.0	---	24.7	23.9	23.9	22.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.6	24	7.7	29.0	0.03	227	2	100.0	10
01/08/13	7:10	24.5	24.7	24.5	32	6.7	0.4	WSW	0.27	1.8	WSW	24.5	23.7	23.7	21.8	1010.5	0.00	0.0	2	0.03	5	0.0	0.00	0.0	0.000	0.043	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	7:20	24.3	24.5	24.3	33	7.0	0.0	WSW	0.00	1.3	WSW	24.3	23.6	23.6	21.7	1010.6	0.00	0.0	10	0.14	14	0.0	0.00	0.0	0.000	0.041	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	7:30	24.1	24.3	24.1	33	6.8	0.0	WSW	0.00	1.3	WSW	24.1	23.3	23.3	21.6	1010.6	0.00	0.0	20	0.29	26	0.0	0.00	0.0	0.000	0.040	30.6	24	7.7	29.0	0.00	229	2	100.0	10
01/08/13	7:40	24.0	24.1	24.0	33	6.7	0.0	WSW	0.00	1.3	WSW	24.0	23.2	23.2	21.7	1010.6	0.00	0.0	30	0.43	33	0.0	0.00	0.0	0.000	0.039	30.6	24	7.7	29.0	0.00	227	2	100.0	10
01/08/13	7:50	23.9	24.0	23.9	34	7.1	0.0	---	0.00	0.0	---	23.9	23.2	23.2	21.8	1010.4	0.00	0.0	49	0.70	70	0.0	0.00	0.0	0.000	0.039	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	8:00	23.9	23.9	23.9	34	7.1	0.4	WSW	0.27	1.8	WSW	23.9	23.2	23.2	23.6	1010.3	0.00	0.0	72	1.03	100	0.0	0.00	0.0	0.000	0.039	30.6	24	7.7	29.0	0.05	228	2	100.0	10
01/08/13	8:10	24.0	24.0	23.9	34	7.2	0.0	WSW	0.00	0.9	WSW	24.0	23.3	23.3	24.3	1010.3	0.00	0.0	101	1.45	114	0.0	0.00	0.0	0.000	0.039	30.6	24	7.7	29.0	0.00	228	2	100.0	10
01/08/13	8:20	24.2	24.2	24.0	34	7.3	0.4	WSW	0.27	1.3	WSW	24.2	23.4	23.4	25.0	1010.8	0.00	0.0	128	1.83	155	0.0	0.00	0.0	0.000	0.041	30.6	24	7.7	29.0	0.00	226	2	100.0	10
01/08/13	8:30	24.1	24.2	24.1	35	7.7	0.4	WSW	0.27	1.8	WSW	24.1	23.4	23.4	25.6	1010.7	0.00	0.0	158	2.26	185	0.2	0.01	0.5	0.000	0.040	30.1	24	7.3	28.6	0.00	228	2	100.0	10
01/08/13	8:40	24.1	24.1	24.1	36	8.1	0.9	WSW	0.54	1.3	WSW	24.1	23.5	23.5	26.2	1010.7	0.00	0.0	191	2.74	225	0.5	0.04	0.6	0.000	0.040	29.5	23	6.2	27.9	0.00	227	2	100.0	10
01/08/13	8:50	24.3	24.3	24.1	37	8.7	0.0	WSW	0.00	1.3	WSW	24.3	23.7	23.7	26.3	1010.3	0.00	0.0	190	2.72	262	0.6	0.04	0.7	0.000	0.041	29.2	23	5.9	27.6	0.00	228	2	100.0	10
01/08/13	9:00	24.8	24.8	24.3	35	8.3	0.0	---	0.00	0.0	---	24.8	24.2	24.2	28.0	1010.6	0.00	0.0	275	3.94	287	0.8	0.06	0.9	0.000	0.045	28.9	23	5.7	27.4	0.13	226	2	100.0	10
01/08/13	9:10	25.6	25.6	24.8	33	8.1	0.0	WSW	0.00	1.3	W	25.6	24.8	24.8	28.9	1010.6	0.00	0.0	302	4.33	318	1.0	0.07	1.0	0.000	0.050	28.7	23	5.5	27.2	0.00	225	2	100.0	10
01/08/13	9:20	26.3	26.3	25.7	33	8.7	0.4	W	0.27	2.2	W	26.3	25.4	25.4	29.7	1011.0	0.00	0.0	324	4.64	369	1.1	0.08	1.3	0.000	0.055	28.6	23	5.4	27.1	0.00	226	2	100.0	10
01/08/13	9:30	26.6	26.6	26.3	29	7.1	0.4	N	0.27	1.8	N	26.6	25.4	25.4	29.9	1010.7	0.00	0.0	358	5.13	396	1.3	0.09	1.4	0.000	0.057	28.5	22	4.7	26.9	0.00	227	2	100.0	10
01/08/13	9:40	26.9	26.9	26.6	28	6.8	0.4	N	0.27	1.8	N	26.9	25.7	25.7	30.4	1010.7	0.00	0.0	389	5.58	429	1.5	0.11	1.6	0.000	0.059	28.4	22	4.6	26.8	0.00	227	2	100.0	10
01/08/13	9:50	27.2	27.2	26.9	28	7.1	0.9	N	0.54	1.8	N	27.2	26.0	26.0	31.0	1010.6	0.00	0.0	443	6.35	464	1.7	0.12	1.8	0.000	0.062	28.3	22	4.5	26.7	0.00	228	2	100.0	10
01/08/13	10:00	27.4	27.4	27.2	28	7.3	0.4	N	0.27	1.8	N	27.4	26.2	26.2	30.6	1010.5	0.00	0.0	382	5.48	473	1.9	0.14	2.1	0.000	0.063	28.2	22	4.4	26.6	0.25	219	2	98.6	10
01/08/13	10:10	27.8	27.8	27.4	27	7.1	0.4	N	0.27	1.8	N	27.8	26.6	26.6	31.8	1010.5	0.00	0.0	497	7.12	512	2.3	0.16	2.4	0.000	0.066	28.1	22	4.3	26.5	0.00	222	2	100.0	10
01/08/13	10:20	28.3	28.3	27.8	28	8.0	0.0	N	0.00	1.3	N	28.3	27.1	27.1	32.3	1010.7	0.00	0.0	516	7.40	536	2.5	0.18	2.7	0.000	0.069	27.9	22	4.2	26.3	0.00	218	2	98.2	10
01/08/13	10:30	28.7	28.7	28.3	26	7.3	0.9	NW	0.54	3.1	WNW	28.7	27.4	27.4	32.7	1010.7	0.00	0.0	532	7.63	591	2.8	0.20	2.9	0.000	0.072	27.9	22	4.2	26.3	0.00	224	2	100.0	10
01/08/13	10:40	28.7	28.8	28.7	27	7.9	1.8	W	1.07	3.1	W	28.7	27.5	27.5	32.9	1010.7	0.00	0.0	582	8.34	596	3.1	0.22	3.2	0.000	0.072	27.8	22	4.2	26.2	0.00	229	2	100.0	10
