		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/12/13	0:30	5.8	6.8	5.8	65	-0.3	0.4	N	0.80	2.2	NNE	5.8	5.4	5.4	3.4	1018.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.262	0.000	18.1	30	0.2	16.1	0.00	685	2	100.0	30
01/12/13	1:00	5.9	6.0	5.3	64	-0.4	0.9	NE	1.61	4.0	ENE	5.9	5.6	5.6	3.6	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.258	0.000	18.1	30	0.2	16.1	0.03	684	2	100.0	30
01/12/13	1:30	4.7	5.9	4.6	64	-1.5	0.9	N	1.61	3.6	N	4.6	4.3	4.2	2.2	1018.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.284	0.000	18.1	31	0.6	16.1	0.00	680	2	100.0	30
01/12/13	2:00	5.0	5.1	4.7	60	-2.1	0.4	NE	0.80	3.1	N	5.0	4.6	4.6	2.5	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.278	0.000	18.1	31	0.6	16.1	0.03	684	2	100.0	30
01/12/13	2:30	4.7	5.1	4.7	61	-2.2	0.4	NNE	0.80	2.2	N	4.7	4.2	4.2	2.2	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.285	0.000	17.9	31	0.6	15.9	0.00	685	2	100.0	30
01/12/13	3:00	4.5	4.7	4.5	61	-2.4	0.4	E	0.80	2.7	NE	4.5	4.1	4.1	2.0	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.288	0.000	17.9	31	0.6	15.9	0.03	684	2	100.0	30
01/12/13	3:30	3.9	4.5	3.9	63	-2.5	0.9	NNE	1.61	4.9	N	3.8	3.6	3.4	1.3	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.300	0.000	17.9	31	0.6	15.9	0.00	685	2	100.0	30
01/12/13	4:00	3.8	4.1	3.8	63	-2.6	1.3	NNE	2.41	3.6	NE	2.8	3.4	2.4	0.4	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.302	0.000	17.8	31	0.5	15.8	0.03	685	2	100.0	30
01/12/13	4:30	3.3	3.8	3.3	65	-2.6	0.4	N	0.80	2.2	N	3.3	2.9	2.9	0.9	1017.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.313	0.000	17.8	30	0.0	15.8	0.00	685	2	100.0	30
01/12/13	5:00	3.2	3.4	3.2	65	-2.7	0.4	WSW	0.80	1.8	WSW	3.2	2.8	2.8	0.8	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.315	0.000	17.8	30	-0.0	15.7	0.03	685	2	100.0	30
01/12/13	5:30	2.9	3.2	2.8	66	-2.8	0.4	ENE	0.80	1.8	NE	2.9	2.6	2.6	0.5	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.321	0.000	17.8	30	-0.0	15.7	0.00	684	2	100.0	30
01/12/13	6:00	3.1	3.2	2.9	62	-3.5	1.3	NE	2.41	4.9	NE	2.1	2.7	1.6	-0.4	1018.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.317	0.000	17.7	30	-0.1	15.6	0.03	685	2	100.0	30
01/12/13	6:30	3.2	3.2	2.9	62	-3.4	0.4	ENE	0.80	1.8	ENE	3.2	2.7	2.7	0.7	1018.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.316	0.000	17.7	30	-0.1	15.6	0.00	685	2	100.0	30
01/12/13	7:00	2.9	3.2	2.9	63	-3.4	0.0	SE	0.00	1.3	SE	2.9	2.6	2.6	0.5	1018.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.321	0.000	17.6	30	-0.2	15.5	0.03	684	2	100.0	30
01/12/13	7:30	2.9	3.0	2.8	63	-3.5	0.0	ESE	0.00	0.9	ESE	2.9	2.5	2.5	0.4	1019.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.322	0.000	17.6	30	-0.2	15.5	0.00	660	2	99.0	30
01/12/13	8:00	2.7	2.9	2.7	63	-3.7	0.0	ENE	0.00	1.3	ENE	2.7	2.3	2.3	0.2	1020.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.326	0.000	17.5	30	-0.3	15.4	0.03	686	2	100.0	30
01/12/13	8:30	3.0	3.1	2.7	61	-3.8	0.4	SSW	0.80	2.2	SE	3.0	2.6	2.6	0.5	1020.2	0.00	0.0	4	0.17	12	0.0	0.00	0.0	0.319	0.000	17.5	30	-0.3	15.4	0.00	684	2	100.0	30
01/12/13	9:00	3.0	3.1	2.9	60	-4.0	0.4	E	0.80	2.7	SSE	3.0	2.6	2.6	0.8	1020.4	0.00	0.0	28	1.20	76	0.0	0.00	0.0	0.319	0.000	17.5	30	-0.3	15.4	0.03	685	2	100.0	30
01/12/13	9:30	3.3	3.3	3.0	59	-3.9	0.9	WSW	1.61	1.8	WNW	3.1	2.9	2.7	2.6	1020.3	0.00	0.0	63	2.71	162	0.0	0.00	0.0	0.313	0.000	17.5	30	-0.3	15.4	0.00	682	2	100.0	30
01/12/13	10:00	4.0	4.1	3.4	58	-3.5	0.4	NW	0.80	1.8	N	4.0	3.6	3.6	5.8	1020.5	0.00	0.0	204	8.77	243	0.3	0.06	0.6	0.299	0.000	17.6	30	-0.2	15.5	0.05	683	2	100.0	30
01/12/13	10:30	4.2	4.2	3.7	59	-3.1	0.4	NNE	0.80	1.8	NNE	4.2	3.7	3.7	7.1	1020.7	0.00	0.0	279	12.00	311	0.8	0.17	1.0	0.295	0.000	17.7	30	-0.1	15.6	0.00	685	2	100.0	30
01/12/13	11:00	4.9	4.9	4.1	57	-2.9	0.9	E	1.61	3.1	ENE	4.9	4.4	4.4	8.4	1020.8	0.00	0.0	344	14.79	374	1.1	0.24	1.3	0.279	0.000	17.8	29	-0.5	15.7	0.13	686	2	100.0	30
01/12/13	11:30	6.2	6.2	4.9	51	-3.2	1.3	ENE	2.41	4.5	ENE	5.6	5.6	4.9	9.3	1020.5	0.00	0.0	403	17.33	429	1.5	0.32	1.7	0.252	0.000	17.9	29	-0.4	15.8	0.00	684	2	100.0	30
01/12/13	12:00	7.2	7.2	6.2	48	-3.1	1.8	NE	3.22	5.4	ENE	6.1	6.5	5.4	10.1	1020.4	0.00	0.0	449	19.31	466	1.8	0.39	2.0	0.233	0.000	18.1	29	-0.3	15.9	0.20	684	2	100.0	30
01/12/13	12:30	7.8	7.9	7.1	45	-3.4	3.1	NE	5.63	6.3	ENE	5.8	7.1	5.1	9.7	1019.8	0.00	0.0	481	20.69	490	2.1	0.45	2.2	0.219	0.000	18.4	29	0.0	16.2	0.00	684	2	100.0	30
01/12/13	13:00	8.3	8.4	7.8	46	-2.6	2.7	NNE	4.83	5.8	NNE	6.7	7.6	6.0	10.8	1019.3	0.00	0.0	499	21.46	504	2.2	0.47	2.3	0.208	0.000	19.7	27	0.1	17.4	0.25	684	2	100.0	30
01/12/13	13:30	9.2	9.2	8.3	45	-2.2	2.7	NE	4.83	6.3	NE	7.7	8.4	7.0	11.9	1018.7	0.00	0.0	504	21.67	506	2.2	0.47	2.3	0.191	0.000	20.9	26	0.7	18.7	0.00	685	2	100.0	30
