		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/01/13	0:10	6.4	6.8	6.4	76	2.5	0.4	ESE	0.27	1.8	ESE	6.4	6.2	6.2	3.9	1023.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	16.7	33	0.3	14.8	0.00	227	2	100.0	10
01/01/13	0:20	6.3	6.4	6.3	77	2.5	0.9	ESE	0.54	2.2	ESE	6.3	6.1	6.1	3.8	1023.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	16.7	33	0.3	14.8	0.00	229	2	100.0	10
01/01/13	0:30	6.2	6.3	6.2	78	2.7	0.9	ESE	0.54	1.8	ESE	6.2	6.1	6.1	3.7	1022.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	16.7	33	0.3	14.8	0.00	228	2	100.0	10
01/01/13	0:40	6.1	6.2	6.1	79	2.7	1.3	ESE	0.80	3.1	SSW	5.4	5.9	5.3	2.9	1022.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.085	0.000	16.7	33	0.3	14.8	0.00	229	2	100.0	10
01/01/13	0:50	6.1	6.1	6.1	79	2.7	0.9	S	0.54	2.2	SSW	6.1	5.9	5.9	3.6	1022.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.085	0.000	16.7	33	0.3	14.8	0.00	229	2	100.0	10
01/01/13	1:00	5.9	6.1	5.9	79	2.6	0.4	S	0.27	2.2	S	5.9	5.8	5.8	3.4	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	16.7	33	0.3	14.8	0.00	228	2	100.0	10
01/01/13	1:10	5.9	5.9	5.9	80	2.8	0.9	S	0.54	1.8	S	5.9	5.8	5.8	3.4	1022.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.086	0.000	16.7	34	0.8	14.9	0.00	228	2	100.0	10
01/01/13	1:20	6.2	6.2	5.9	80	3.0	0.0	S	0.00	1.3	S	6.2	6.1	6.1	3.7	1021.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.084	0.000	16.7	34	0.8	14.9	0.00	228	2	100.0	10
01/01/13	1:30	6.3	6.3	6.2	80	3.1	0.0	S	0.00	1.3	S	6.3	6.2	6.2	3.8	1021.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	16.7	34	0.8	14.9	0.00	229	2	100.0	10
01/01/13	1:40	6.4	6.4	6.3	79	3.1	0.0	---	0.00	0.0	---	6.4	6.3	6.3	3.9	1021.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.083	0.000	16.7	34	0.8	14.9	0.00	228	2	100.0	10
