		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/02/13	0:10	9.6	9.6	9.4	57	1.4	0.0	---	0.00	0.0	---	9.6	9.1	9.1	6.7	1030.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.061	0.000	20.9	30	2.7	18.9	0.00	227	2	100.0	10
01/02/13	0:20	9.6	9.6	9.6	56	1.3	0.0	---	0.00	0.0	---	9.6	9.1	9.1	6.7	1030.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.061	0.000	20.8	30	2.6	18.8	0.00	228	2	100.0	10
01/02/13	0:30	9.7	9.7	9.6	55	1.1	0.0	---	0.00	0.0	---	9.7	9.2	9.2	6.8	1030.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.060	0.000	20.8	30	2.6	18.8	0.00	227	2	100.0	10
01/02/13	0:40	9.7	9.7	9.7	55	1.1	0.0	---	0.00	0.0	---	9.7	9.2	9.2	6.8	1030.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.060	0.000	20.7	30	2.5	18.7	0.00	228	2	100.0	10
01/02/13	0:50	9.6	9.7	9.6	54	0.7	0.0	---	0.00	0.0	---	9.6	9.1	9.1	6.7	1029.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.061	0.000	20.7	30	2.5	18.7	0.00	228	2	100.0	10
01/02/13	1:00	9.7	9.7	9.6	54	0.8	0.4	WNW	0.27	1.8	WNW	9.7	9.2	9.2	6.8	1029.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.060	0.000	20.7	30	2.5	18.7	0.00	229	2	100.0	10
01/02/13	1:10	9.6	9.7	9.6	55	0.9	0.0	---	0.00	0.0	---	9.6	9.0	9.0	6.6	1029.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.061	0.000	20.6	30	2.4	18.6	0.00	228	2	100.0	10
01/02/13	1:20	9.4	9.6	9.4	55	0.8	0.0	---	0.00	0.0	---	9.4	8.8	8.8	6.4	1029.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.062	0.000	20.6	30	2.4	18.6	0.00	229	2	100.0	10
01/02/13	1:30	9.2	9.4	9.2	56	0.9	0.0	---	0.00	0.0	---	9.2	8.7	8.7	6.3	1029.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.063	0.000	20.5	30	2.3	18.5	0.00	228	2	100.0	10
01/02/13	1:40	9.1	9.2	9.1	57	1.0	0.0	---	0.00	0.0	---	9.1	8.6	8.6	6.2	1029.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.064	0.000	20.5	30	2.3	18.5	0.00	220	2	99.1	10
01/02/13	1:50	8.9	9.1	8.9	58	1.1	0.0	---	0.00	0.0	---	8.9	8.4	8.4	6.0	1029.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.066	0.000	20.5	30	2.3	18.5	0.00	215	2	96.8	10
01/02/13	2:00	8.8	8.9	8.8	59	1.2	0.0	---	0.00	0.0	---	8.8	8.3	8.3	5.9	1029.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.066	0.000	20.4	30	2.2	18.4	0.00	228	2	100.0	10
01/02/13	2:10	8.6	8.8	8.6	60	1.2	0.0	---	0.00	0.0	---	8.6	8.1	8.1	5.7	1029.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.068	0.000	20.4	30	2.2	18.4	0.00	229	2	100.0	10
01/02/13	2:20	8.4	8.6	8.4	60	1.1	0.0	---	0.00	0.0	---	8.4	7.9	7.9	5.6	1029.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.069	0.000	20.4	30	2.2	18.4	0.00	228	2	100.0	10
01/02/13	2:30	8.3	8.4	8.3	60	1.0	0.0	---	0.00	0.0	---	8.3	7.8	7.8	5.4	1029.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.070	0.000	20.3	30	2.1	18.3	0.00	229	2	100.0	10
01/02/13	2:40	8.2	8.3	8.2	60	0.9	0.0	---	0.00	0.0	---	8.2	7.8	7.8	5.4	1029.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.070	0.000	20.3	30	2.1	18.3	0.00	229	2	100.0	10
01/02/13	2:50	8.1	8.2	8.1	60	0.8	0.0	---	0.00	0.0	---	8.1	7.7	7.7	5.3	1029.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.071	0.000	20.3	30	2.1	18.3	0.00	228	2	100.0	10
01/02/13	3:00	7.9	8.1	7.9	61	0.9	0.4	WNW	0.27	1.8	WNW	7.9	7.5	7.5	5.1	1029.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.072	0.000	20.2	30	2.1	18.2	0.00	228	2	100.0	10
