		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/07/13	0:10	28.6	28.8	28.6	23	5.4	2.7	S	1.61	6.7	SE	28.6	27.1	27.1	25.1	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	30.3	23	6.8	28.7	0.00	213	2	95.9	10
01/07/13	0:20	28.4	28.6	28.4	23	5.3	1.8	SE	1.07	5.8	SSE	28.4	26.8	26.8	24.8	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.070	30.3	23	6.8	28.7	0.00	214	2	96.4	10
01/07/13	0:30	28.3	28.4	28.3	24	5.8	1.3	SE	0.80	4.0	SSE	28.3	26.8	26.8	24.7	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	30.3	23	6.8	28.7	0.00	203	2	91.4	10
01/07/13	0:40	28.1	28.2	28.1	24	5.6	0.9	SSE	0.54	4.9	S	28.1	26.6	26.6	24.5	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	30.3	23	6.8	28.7	0.00	219	2	98.6	10
01/07/13	0:50	27.8	28.1	27.8	24	5.4	1.8	SSE	1.07	4.9	S	27.8	26.4	26.4	24.3	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	30.3	23	6.8	28.7	0.00	223	2	100.0	10
01/07/13	1:00	27.6	27.8	27.6	24	5.2	1.3	SE	0.80	3.1	SE	27.6	26.2	26.2	24.1	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	30.3	23	6.8	28.7	0.10	211	2	95.0	10
01/07/13	1:10	27.1	27.6	27.1	25	5.4	2.2	ENE	1.34	4.0	ENE	27.1	25.7	25.7	23.6	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.061	30.2	23	6.7	28.6	0.00	221	2	99.5	10
01/07/13	1:20	26.8	27.1	26.8	25	5.1	1.8	ENE	1.07	4.0	ENE	26.8	25.4	25.4	23.3	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.059	30.2	23	6.7	28.6	0.00	213	2	95.9	10
01/07/13	1:30	26.7	26.8	26.7	24	4.4	1.3	SE	0.80	4.9	SE	26.7	25.2	25.2	23.1	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.058	30.2	23	6.7	28.6	0.00	214	2	96.4	10
