		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/06/13	0:10	18.5	18.6	18.5	31	1.0	0.0	ESE	0.00	1.8	ESE	18.5	16.5	16.5	14.1	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.001	23.7	29	4.6	22.7	0.00	227	2	100.0	10
01/06/13	0:20	18.3	18.5	18.3	31	0.8	0.0	ESE	0.00	1.3	ESE	18.3	16.3	16.3	13.9	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	23.7	29	4.6	22.7	0.00	228	2	100.0	10
01/06/13	0:30	18.1	18.3	18.1	31	0.7	0.4	ESE	0.27	1.3	ESE	18.1	16.1	16.1	13.7	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	23.7	29	4.6	22.7	0.00	228	2	100.0	10
01/06/13	0:40	18.0	18.1	18.0	32	1.0	0.4	E	0.27	2.7	E	18.0	16.1	16.1	13.7	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	23.7	29	4.6	22.7	0.00	229	2	100.0	10
01/06/13	0:50	17.8	18.0	17.8	32	0.9	0.4	E	0.27	1.8	E	17.8	15.9	15.9	13.5	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	23.7	29	4.6	22.7	0.00	229	2	100.0	10
01/06/13	1:00	17.8	17.8	17.8	32	0.8	0.0	---	0.00	0.0	---	17.8	15.8	15.8	13.4	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.004	0.000	23.7	29	4.6	22.7	0.03	227	2	100.0	10
01/06/13	1:10	17.7	17.8	17.7	32	0.8	0.0	---	0.00	0.0	---	17.7	15.7	15.7	13.3	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	23.7	29	4.6	22.7	0.00	229	2	100.0	10
01/06/13	1:20	17.6	17.7	17.6	32	0.7	0.0	---	0.00	0.0	---	17.6	15.6	15.6	13.2	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	23.6	29	4.5	22.6	0.00	228	2	100.0	10
01/06/13	1:30	17.5	17.6	17.5	32	0.6	0.0	---	0.00	0.0	---	17.5	15.6	15.6	13.2	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.006	0.000	23.6	29	4.5	22.6	0.00	229	2	100.0	10
01/06/13	1:40	17.4	17.5	17.4	33	0.9	0.4	E	0.27	1.8	E	17.4	15.5	15.5	13.1	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.007	0.000	23.6	29	4.5	22.6	0.00	229	2	100.0	10
01/06/13	1:50	17.3	17.4	17.3	33	0.9	0.0	E	0.00	1.3	E	17.3	15.4	15.4	13.1	1018.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.007	0.000	23.6	29	4.5	22.6	0.00	228	2	100.0	10
01/06/13	2:00	17.1	17.3	17.1	33	0.7	0.4	E	0.27	1.3	E	17.1	15.2	15.2	12.8	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.008	0.000	23.6	29	4.5	22.6	0.03	229	2	100.0	10
01/06/13	2:10	17.1	17.1	17.1	34	1.1	0.0	---	0.00	0.0	---	17.1	15.2	15.2	12.8	1018.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.009	0.000	23.6	29	4.5	22.6	0.00	228	2	100.0	10
01/06/13	2:20	17.1	17.1	17.1	34	1.1	0.0	---	0.00	0.0	---	17.1	15.2	15.2	12.8	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.009	0.000	23.6	29	4.5	22.6	0.00	228	2	100.0	10
