		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/03/13	0:10	4.8	4.8	4.8	75	0.7	5.8	WSW	3.49	8.9	SW	0.7	4.6	0.4	-1.4	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.7	28	-1.1	15.4	0.00	228	2	100.0	10
01/03/13	0:20	4.8	4.8	4.8	75	0.7	5.8	WSW	3.49	10.7	SW	0.7	4.6	0.4	-1.4	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.7	28	-1.1	15.4	0.00	229	2	100.0	10
01/03/13	0:30	4.7	4.8	4.7	76	0.8	6.3	WSW	3.76	8.9	WSW	0.3	4.4	0.1	-1.7	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	17.7	28	-1.1	15.4	0.00	227	2	100.0	10
01/03/13	0:40	4.7	4.7	4.7	76	0.8	5.8	WSW	3.49	9.8	SSW	0.5	4.4	0.3	-1.6	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	17.7	28	-1.1	15.4	0.00	227	2	100.0	10
01/03/13	0:50	4.7	4.7	4.7	77	1.0	5.4	WSW	3.22	10.3	WSW	0.7	4.4	0.5	-1.4	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	17.7	28	-1.1	15.4	0.00	229	2	100.0	10
01/03/13	1:00	4.7	4.7	4.7	77	1.0	4.9	WSW	2.95	9.4	SW	0.9	4.4	0.7	-1.3	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.095	0.000	17.7	28	-1.1	15.4	0.05	228	2	100.0	10
01/03/13	1:10	4.8	4.8	4.7	77	1.1	4.5	WSW	2.68	8.9	SW	1.3	4.6	1.1	-1.1	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	1:20	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	8.0	W	1.1	4.6	0.8	-1.2	1011.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.00	227	2	100.0	10
01/03/13	1:30	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	7.6	WSW	1.1	4.6	0.8	-1.2	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	1:40	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	8.0	SW	1.1	4.6	0.9	-1.2	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	1:50	4.8	4.8	4.8	76	1.0	4.5	WSW	2.68	8.5	WSW	1.3	4.6	1.1	-1.0	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	2:00	4.8	4.8	4.8	76	1.0	4.9	WSW	2.95	8.9	WSW	1.1	4.6	0.9	-1.2	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.6	28	-1.2	15.3	0.03	228	2	100.0	10
01/03/13	2:10	4.9	4.9	4.8	76	1.1	4.9	WSW	2.95	8.9	WSW	1.3	4.7	1.1	-1.0	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.6	28	-1.2	15.3	0.00	227	2	100.0	10
01/03/13	2:20	4.9	4.9	4.9	76	1.1	4.0	WSW	2.41	7.6	W	1.8	4.7	1.6	-0.6	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.6	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	2:30	4.9	4.9	4.9	76	1.1	4.0	WSW	2.41	7.2	SW	1.8	4.7	1.6	-0.6	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.6	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	2:40	4.9	5.0	4.9	76	1.1	4.9	WSW	2.95	8.9	WSW	1.3	4.7	1.1	-1.0	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	2:50	4.9	5.0	4.9	76	1.1	4.0	WSW	2.41	6.3	WSW	1.8	4.7	1.6	-0.6	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	3:00	4.9	5.0	4.9	76	1.1	4.9	WSW	2.95	7.6	WSW	1.3	4.7	1.1	-1.0	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.03	229	2	100.0	10
01/03/13	3:10	4.9	4.9	4.9	76	1.1	4.5	WSW	2.68	8.9	WSW	1.5	4.7	1.3	-0.8	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	3:20	4.9	4.9	4.9	76	1.1	5.4	WSW	3.22	8.5	WSW	1.1	4.7	0.8	-1.1	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	3:30	4.9	4.9	4.9	76	1.1	4.9	WSW	2.95	8.9	W	1.3	4.7	1.1	-1.0	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	3:40	4.9	4.9	4.9	76	1.1	4.5	WSW	2.68	8.0	WSW	1.5	4.7	1.3	-0.8	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	228	2	100.0	10
01/03/13	3:50	5.0	5.0	4.9	76	1.1	4.5	WSW	2.68	8.0	W	1.6	4.8	1.3	-0.8	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.00	229	2	100.0	10
01/03/13	4:00	4.9	5.0	4.9	76	1.1	4.9	WSW	2.95	8.5	WSW	1.3	4.7	1.1	-1.0	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	28	-1.2	15.3	0.03	228	2	100.0	10
01/03/13	4:10	4.9	4.9	4.9	76	1.1	4.0	WSW	2.41	7.6	W	1.8	4.7	1.6	-0.6	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.5	29	-0.8	15.3	0.00	228	2	100.0	10
01/03/13	4:20	4.9	4.9	4.8	76	1.1	4.5	WSW	2.68	8.0	W	1.5	4.7	1.3	-0.8	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	4:30	4.8	4.8	4.8	76	1.0	4.9	WSW	2.95	8.0	WSW	1.1	4.6	0.9	-1.2	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	4:40	4.8	4.8	4.8	76	1.0	4.9	WSW	2.95	9.8	WSW	1.1	4.6	0.9	-1.2	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	229	2	100.0	10
01/03/13	4:50	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	9.4	W	1.1	4.6	0.9	-1.2	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	5:00	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	8.0	SW	1.1	4.6	0.9	-1.2	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.03	229	2	100.0	10
01/03/13	5:10	4.8	4.8	4.8	77	1.1	4.5	WSW	2.68	7.6	SW	1.3	4.6	1.1	-1.0	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	5:20	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	8.0	WSW	1.1	4.6	0.8	-1.2	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	229	2	100.0	10
01/03/13	5:30	4.8	4.8	4.8	77	1.1	4.5	WSW	2.68	7.2	SW	1.3	4.6	1.1	-1.1	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	5:40	4.8	4.8	4.8	77	1.1	4.0	WSW	2.41	7.6	WSW	1.6	4.6	1.3	-0.8	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	5:50	4.8	4.8	4.8	77	1.1	4.0	WSW	2.41	7.2	WSW	1.6	4.6	1.3	-0.8	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.4	29	-0.8	15.2	0.00	228	2	100.0	10
01/03/13	6:00	4.8	4.8	4.8	77	1.1	4.5	WSW	2.68	8.0	SW	1.3	4.6	1.1	-1.1	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.03	228	2	100.0	10
01/03/13	6:10	4.8	4.8	4.8	77	1.1	3.1	WSW	1.88	6.7	SW	2.1	4.6	1.9	-0.4	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.00	229	2	100.0	10
01/03/13	6:20	4.8	4.8	4.8	77	1.1	2.7	WSW	1.61	7.2	SW	2.6	4.6	2.3	-0.1	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.00	228	2	100.0	10
01/03/13	6:30	4.8	4.8	4.8	77	1.1	3.6	WSW	2.15	7.6	W	1.9	4.6	1.7	-0.6	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.00	229	2	100.0	10
01/03/13	6:40	4.8	4.8	4.8	77	1.1	4.9	WSW	2.95	7.6	WSW	1.1	4.6	0.9	-1.2	1012.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.00	229	2	100.0	10
01/03/13	6:50	4.8	4.8	4.8	76	1.0	4.9	WSW	2.95	8.9	WSW	1.1	4.6	0.9	-1.2	1013.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.094	0.000	17.3	29	-0.9	15.2	0.00	228	2	100.0	10
01/03/13	7:00	4.9	4.9	4.8	76	1.1	4.5	WSW	2.68	7.6	W	1.5	4.7	1.3	-0.8	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.3	29	-0.9	15.2	0.03	229	2	100.0	10
01/03/13	7:10	4.9	4.9	4.9	76	1.1	4.0	WSW	2.41	7.2	WSW	1.8	4.7	1.6	-0.6	1013.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.3	29	-0.9	15.2	0.00	228	2	100.0	10
01/03/13	7:20	4.9	4.9	4.9	76	1.1	4.0	WSW	2.41	6.7	WSW	1.8	4.7	1.6	-0.6	1013.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.3	29	-0.9	15.2	0.00	229	2	100.0	10
01/03/13	7:30	5.0	5.0	4.9	76	1.1	3.6	WSW	2.15	7.6	SW	2.1	4.8	1.9	-0.4	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.3	29	-0.9	15.2	0.00	227	2	100.0	10
01/03/13	7:40	5.0	5.0	5.0	76	1.1	4.5	WSW	2.68	7.6	WSW	1.6	4.8	1.3	-0.8	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.2	32	0.4	15.3	0.00	229	2	100.0	10
01/03/13	7:50	5.0	5.0	5.0	76	1.1	3.6	WSW	2.15	6.3	WSW	2.1	4.8	1.9	-0.4	1014.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.093	0.000	17.3	33	0.9	15.4	0.00	226	2	100.0	10
01/03/13	8:00	5.0	5.0	5.0	75	0.9	3.6	WSW	2.15	6.3	W	2.1	4.8	1.9	-0.4	1014.1	0.00	0.0	4	0.06	7	0.0	0.00	0.0	0.093	0.000	17.3	31	0.0	15.3	0.03	228	2	100.0	10
01/03/13	8:10	5.0	5.0	5.0	75	0.9	3.6	SW	2.15	7.2	SW	2.1	4.8	1.9	-0.3	1014.1	0.00	0.0	8	0.11	9	0.0	0.00	0.0	0.093	0.000	17.5	30	-0.3	15.4	0.00	228	2	100.0	10
01/03/13	8:20	5.1	5.1	5.0	75	1.0	3.6	W	2.15	6.3	W	2.2	4.9	2.0	-0.2	1014.5	0.00	0.0	12	0.17	14	0.0	0.00	0.0	0.092	0.000	17.7	30	-0.1	15.6	0.00	228	2	100.0	10
01/03/13	8:30	5.2	5.2	5.1	74	0.9	2.7	WSW	1.61	5.4	WSW	2.9	4.9	2.7	0.6	1014.7	0.00	0.0	23	0.33	28	0.0	0.00	0.0	0.091	0.000	17.9	30	0.1	15.9	0.00	229	2	100.0	10
01/03/13	8:40	5.2	5.2	5.2	74	1.0	3.6	WSW	2.15	6.7	SW	2.4	5.0	2.2	0.2	1014.7	0.00	0.0	32	0.46	35	0.0	0.00	0.0	0.091	0.000	18.2	30	0.3	16.2	0.00	229	2	100.0	10
01/03/13	8:50	5.4	5.4	5.2	73	0.9	1.8	W	1.07	4.0	W	4.1	5.1	3.8	3.4	1014.9	0.00	0.0	43	0.62	54	0.0	0.00	0.0	0.090	0.000	18.5	29	0.1	16.3	0.00	228	2	100.0	10
01/03/13	9:00	5.5	5.5	5.4	73	1.0	1.8	W	1.07	4.5	WSW	4.2	5.2	3.9	4.1	1014.9	0.00	0.0	68	0.97	77	0.0	0.00	0.0	0.089	0.000	18.7	29	0.3	16.6	0.03	229	2	100.0	10
01/03/13	9:10	5.7	5.7	5.5	71	0.8	2.2	WSW	1.34	4.9	WSW	3.9	5.3	3.6	4.1	1014.9	0.00	0.0	87	1.25	93	0.0	0.00	0.0	0.088	0.000	18.8	29	0.4	16.7	0.00	228	2	100.0	10
01/03/13	9:20	5.9	5.9	5.7	69	0.6	1.8	WSW	1.07	4.0	WSW	4.6	5.6	4.3	5.1	1015.1	0.00	0.0	97	1.39	100	0.0	0.00	0.0	0.086	0.000	18.9	28	0.0	16.7	0.00	229	2	100.0	10
01/03/13	9:30	6.2	6.2	5.9	67	0.5	0.4	WSW	0.27	2.2	WSW	6.2	5.8	5.8	6.6	1015.3	0.00	0.0	101	1.45	105	0.0	0.00	0.0	0.084	0.000	19.0	28	0.1	16.8	0.00	228	2	100.0	10
01/03/13	9:40	6.2	6.2	6.2	65	0.1	0.9	WSW	0.54	2.2	WSW	6.2	5.8	5.8	6.9	1015.3	0.00	0.0	117	1.68	125	0.0	0.00	0.0	0.084	0.000	19.2	28	0.3	17.0	0.00	229	2	100.0	10
01/03/13	9:50	6.4	6.4	6.2	63	-0.1	0.4	WSW	0.27	1.8	WSW	6.4	6.1	6.1	7.4	1015.5	0.00	0.0	135	1.94	146	0.3	0.02	0.5	0.083	0.000	19.3	28	0.3	17.1	0.00	229	2	100.0	10
01/03/13	10:00	6.5	6.5	6.4	62	-0.3	1.3	WSW	0.80	2.7	WSW	5.9	6.1	5.4	7.3	1015.5	0.00	0.0	165	2.37	188	0.6	0.04	0.7	0.082	0.000	19.4	27	-0.1	17.0	0.08	228	2	100.0	10
01/03/13	10:10	6.7	6.7	6.5	61	-0.3	0.4	WSW	0.27	1.8	WSW	6.7	6.2	6.2	8.4	1015.5	0.00	0.0	193	2.77	206	0.8	0.06	0.9	0.081	0.000	19.4	27	-0.1	17.1	0.00	229	2	100.0	10
01/03/13	10:20	6.8	6.9	6.7	60	-0.4	0.4	WSW	0.27	2.2	WSW	6.8	6.4	6.4	9.6	1015.6	0.00	0.0	257	3.68	341	1.1	0.08	1.3	0.080	0.000	19.4	27	-0.1	17.0	0.00	228	2	100.0	10
01/03/13	10:30	7.0	7.0	6.8	60	-0.2	0.4	NW	0.27	1.8	WSW	7.0	6.6	6.6	10.6	1015.6	0.00	0.0	336	4.82	378	1.4	0.10	1.5	0.079	0.000	19.3	27	-0.2	16.9	0.00	229	2	100.0	10
01/03/13	10:40	7.2	7.3	7.0	59	-0.3	0.4	NW	0.27	1.8	NW	7.2	6.8	6.8	11.2	1015.6	0.00	0.0	424	6.08	680	1.7	0.12	2.0	0.077	0.000	19.4	27	-0.1	17.1	0.00	228	2	100.0	10
01/03/13	10:50	7.3	7.3	7.2	59	-0.2	0.4	NW	0.27	1.8	NW	7.3	6.9	6.9	10.1	1015.8	0.00	0.0	271	3.88	345	1.7	0.12	1.8	0.076	0.000	19.4	27	-0.1	17.1	0.00	226	2	100.0	10
01/03/13	11:00	7.2	7.4	7.2	59	-0.3	0.4	NW	0.27	2.7	NW	7.2	6.7	6.7	9.8	1015.9	0.00	0.0	274	3.93	367	1.7	0.12	2.0	0.078	0.000	19.4	27	-0.1	17.1	0.13	229	2	100.0	10
01/03/13	11:10	7.5	7.5	7.2	59	-0.0	0.0	NW	0.00	1.8	NW	7.5	7.1	7.1	10.6	1015.9	0.00	0.0	313	4.49	399	1.7	0.12	1.9	0.075	0.000	19.4	27	-0.1	17.1	0.00	228	2	100.0	10
01/03/13	11:20	7.6	7.7	7.5	57	-0.4	0.0	NW	0.00	1.3	NW	7.6	7.1	7.1	10.4	1015.9	0.00	0.0	303	4.34	323	1.7	0.12	1.9	0.075	0.000	19.4	27	-0.1	17.0	0.00	229	2	100.0	10
01/03/13	11:30	7.7	7.7	7.3	58	-0.0	0.0	NW	0.00	0.9	NW	7.7	7.2	7.2	11.8	1015.5	0.00	0.0	422	6.05	659	2.6	0.19	3.1	0.074	0.000	19.4	27	-0.1	17.1	0.00	227	2	100.0	10
