		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/05/13	0:10	7.5	7.6	7.5	77	3.7	0.4	S	0.27	1.3	S	7.5	7.3	7.3	5.3	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.075	0.000	21.2	33	4.2	19.3	0.00	221	2	99.5	10
01/05/13	0:20	7.4	7.5	7.4	77	3.6	0.9	S	0.54	2.2	S	7.4	7.2	7.2	5.2	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.076	0.000	21.2	33	4.2	19.3	0.00	223	2	100.0	10
01/05/13	0:30	7.2	7.4	7.2	77	3.5	0.4	S	0.27	1.8	S	7.2	7.1	7.1	5.0	1016.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.077	0.000	21.2	33	4.2	19.3	0.00	226	2	100.0	10
01/05/13	0:40	7.1	7.2	7.1	77	3.3	0.9	S	0.54	1.8	S	7.1	6.9	6.9	4.8	1016.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	21.2	33	4.2	19.3	0.00	225	2	100.0	10
01/05/13	0:50	7.2	7.2	7.1	77	3.4	0.9	S	0.54	1.8	S	7.2	7.0	7.0	4.9	1016.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	21.1	33	4.2	19.2	0.00	225	2	100.0	10
01/05/13	1:00	7.2	7.2	7.2	77	3.4	1.3	SSE	0.80	2.7	S	6.6	7.0	6.4	4.4	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	21.1	33	4.2	19.2	0.00	226	2	100.0	10
01/05/13	1:10	7.2	7.2	7.2	77	3.4	1.3	SSE	0.80	4.5	SE	6.6	7.0	6.4	4.4	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.078	0.000	21.1	33	4.2	19.2	0.00	227	2	100.0	10
01/05/13	1:20	7.4	7.4	7.2	77	3.6	1.8	SE	1.07	4.5	ESE	6.3	7.2	6.2	4.1	1016.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.076	0.000	21.1	33	4.2	19.2	0.00	229	2	100.0	10
01/05/13	1:30	7.8	7.8	7.4	74	3.5	2.2	SSE	1.34	4.9	SSE	6.4	7.6	6.2	4.2	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.073	0.000	21.1	33	4.2	19.2	0.00	226	2	100.0	10
01/05/13	1:40	8.1	8.1	7.9	72	3.3	1.8	SSE	1.07	4.0	SSE	7.1	7.8	6.9	4.8	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.071	0.000	20.9	33	4.1	19.1	0.00	229	2	100.0	10
01/05/13	1:50	8.1	8.1	8.1	71	3.1	0.9	SSE	0.54	3.1	SSE	8.1	7.8	7.8	5.7	1016.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.071	0.000	20.9	32	3.6	19.1	0.00	228	2	100.0	10
01/05/13	2:00	7.7	8.1	7.7	71	2.8	0.9	SSE	0.54	2.2	SSE	7.7	7.4	7.4	5.4	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.074	0.000	20.9	32	3.6	19.1	0.03	229	2	100.0	10
01/05/13	2:10	7.6	7.7	7.6	71	2.6	1.3	SSE	0.80	2.7	SSE	7.1	7.3	6.8	4.7	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.075	0.000	20.9	32	3.6	19.1	0.00	228	2	100.0	10
01/05/13	2:20	7.6	7.6	7.6	71	2.6	0.9	SSE	0.54	3.1	SSE	7.6	7.3	7.3	5.2	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.075	0.000	20.9	32	3.6	19.1	0.00	228	2	100.0	10
01/05/13	2:30	7.5	7.6	7.5	71	2.6	1.3	SSE	0.80	3.1	SSE	7.0	7.2	6.7	4.6	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.075	0.000	20.9	32	3.6	19.1	0.00	229	2	100.0	10
01/05/13	2:40	7.8	7.8	7.5	70	2.7	1.3	SSE	0.80	4.5	SSE	7.4	7.6	7.1	5.0	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.073	0.000	20.9	32	3.6	19.1	0.00	225	2	100.0	10
01/05/13	2:50	8.1	8.1	7.8	68	2.6	1.8	SE	1.07	3.6	SE	7.2	7.8	6.8	4.7	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.071	0.000	20.9	32	3.6	19.0	0.00	229	2	100.0	10
01/05/13	3:00	7.8	8.1	7.8	68	2.3	1.3	SE	0.80	2.2	SE	7.4	7.5	7.1	4.9	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.073	0.000	20.9	32	3.6	19.0	0.03	227	2	100.0	10
01/05/13	3:10	7.9	7.9	7.8	68	2.3	0.9	SE	0.54	2.7	SE	7.9	7.6	7.6	5.4	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.073	0.000	20.9	32	3.6	19.0	0.00	228	2	100.0	10
01/05/13	3:20	7.5	7.9	7.5	68	2.0	0.4	SW	0.27	2.2	SW	7.5	7.2	7.2	5.1	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.075	0.000	20.9	32	3.6	19.0	0.00	229	2	100.0	10
