		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/11/13	0:30	9.3	9.8	9.3	61	2.2	1.3	SE	2.41	2.2	SE	9.1	8.9	8.6	6.7	1025.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.188	0.000	25.1	28	5.3	24.4	0.00	686	2	100.0	30
01/11/13	1:00	10.1	10.1	9.1	58	2.2	0.9	SE	1.61	2.2	SSE	10.1	9.6	9.6	7.7	1025.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.171	0.000	25.0	28	5.2	24.3	0.03	685	2	100.0	30
01/11/13	1:30	10.1	10.7	10.1	57	1.9	0.4	ESE	0.80	2.2	SSE	10.1	9.6	9.6	7.6	1025.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.172	0.000	25.0	28	5.2	24.3	0.00	685	2	100.0	30
01/11/13	2:00	8.9	10.1	8.9	62	2.0	1.3	ESE	2.41	3.1	ESE	8.6	8.4	8.1	6.2	1025.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.197	0.000	24.9	28	5.1	24.2	0.05	686	2	100.0	30
01/11/13	2:30	8.6	8.8	8.4	63	2.0	1.8	ESE	3.22	3.1	E	7.8	8.2	7.4	5.4	1025.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.203	0.000	24.8	28	5.0	24.0	0.00	685	2	100.0	30
01/11/13	3:00	8.3	8.6	8.3	64	1.9	0.9	ESE	1.61	2.2	E	8.3	7.9	7.9	6.0	1024.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.208	0.000	24.8	28	5.0	24.0	0.03	683	2	100.0	30
01/11/13	3:30	7.8	8.3	7.8	66	1.8	1.3	ESE	2.41	2.7	E	7.3	7.4	6.9	5.0	1024.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.220	0.000	24.7	28	4.9	23.9	0.00	685	2	100.0	30
01/11/13	4:00	7.7	7.8	7.5	67	1.9	0.4	NNW	0.80	2.2	E	7.7	7.3	7.3	5.4	1024.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.222	0.000	24.7	28	4.9	23.9	0.03	686	2	100.0	30
01/11/13	4:30	7.8	7.8	7.6	67	2.0	0.0	N	0.00	0.9	NW	7.8	7.4	7.4	5.5	1024.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.220	0.000	24.6	28	4.9	23.8	0.00	684	2	100.0	30
01/11/13	5:00	7.3	7.8	7.2	67	1.6	0.4	ESE	0.80	2.2	E	7.3	7.0	7.0	5.0	1024.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.229	0.000	24.6	28	4.9	23.8	0.03	684	2	100.0	30
01/11/13	5:30	6.9	7.4	6.7	70	1.8	0.9	W	1.61	2.2	W	6.9	6.6	6.6	4.7	1024.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.238	0.000	24.5	28	4.8	23.7	0.00	685	2	100.0	30
01/11/13	6:00	6.9	7.1	6.7	71	2.0	0.4	W	0.80	2.2	WSW	6.9	6.7	6.7	4.7	1024.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.237	0.000	24.5	28	4.8	23.7	0.03	686	2	100.0	30
01/11/13	6:30	6.9	7.2	6.8	70	1.8	0.0	ENE	0.00	0.9	ENE	6.9	6.7	6.7	4.7	1024.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.237	0.000	24.4	28	4.7	23.5	0.00	684	2	100.0	30
01/11/13	7:00	6.7	7.0	6.6	72	2.0	0.0	ENE	0.00	0.4	ENE	6.7	6.4	6.4	4.4	1025.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.243	0.000	24.4	28	4.7	23.5	0.03	685	2	100.0	30
01/11/13	7:30	6.6	6.7	6.4	71	1.7	0.4	SE	0.80	1.3	ENE	6.6	6.3	6.3	4.3	1025.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.245	0.000	24.3	28	4.6	23.3	0.00	684	2	100.0	30
01/11/13	8:00	6.5	6.7	6.5	71	1.6	0.4	SE	0.80	1.8	SE	6.5	6.2	6.2	4.4	1026.0	0.00	0.0	10	0.43	19	0.0	0.00	0.0	0.247	0.000	24.3	28	4.6	23.3	0.00	662	2	99.3	30
01/11/13	8:30	7.3	7.3	6.5	69	2.0	0.0	SSE	0.00	1.8	SE	7.3	7.1	7.1	5.7	1026.0	0.00	0.0	50	2.15	72	0.0	0.00	0.0	0.229	0.000	24.3	28	4.6	23.3	0.00	683	2	100.0	30
01/11/13	9:00	7.6	7.7	7.0	69	2.2	0.4	SE	0.80	1.3	SE	7.6	7.3	7.3	8.4	1026.0	0.00	0.0	120	5.16	153	0.0	0.00	0.5	0.225	0.000	24.3	28	4.6	23.3	0.05	684	2	100.0	30
01/11/13	9:30	8.6	8.7	7.6	66	2.6	0.4	WNW	0.80	1.3	WNW	8.6	8.2	8.2	10.8	1026.4	0.00	0.0	199	8.56	260	0.6	0.13	0.9	0.203	0.000	24.5	28	4.8	23.7	0.00	684	2	100.0	30
01/11/13	10:00	10.4	10.4	8.6	60	3.0	0.0	WNW	0.00	1.3	WNW	10.4	9.9	9.9	14.0	1026.9	0.00	0.0	338	14.54	415	1.2	0.26	1.4	0.166	0.000	24.5	28	4.8	23.7	0.13	684	2	100.0	30
01/11/13	10:30	11.0	11.1	10.4	58	3.0	0.4	WNW	0.80	1.8	WNW	11.0	10.4	10.4	14.2	1027.0	0.00	0.0	307	13.20	424	1.5	0.32	1.9	0.153	0.000	24.6	28	4.9	23.8	0.00	685	2	100.0	30
01/11/13	11:00	13.1	13.1	11.0	53	3.7	0.0	NNW	0.00	1.3	WNW	13.1	12.2	12.2	17.2	1026.7	0.00	0.0	467	20.08	496	2.3	0.49	2.6	0.109	0.000	24.6	28	4.9	23.8	0.20	686	2	100.0	30
01/11/13	11:30	13.7	13.7	13.0	50	3.5	0.0	NNE	0.00	1.3	S	13.7	12.7	12.7	17.8	1026.6	0.00	0.0	526	22.62	552	2.9	0.62	3.1	0.096	0.000	24.8	28	5.0	24.0	0.00	685	2	100.0	30
01/11/13	12:00	14.9	15.0	13.7	44	2.8	0.0	NW	0.00	1.3	NW	14.9	13.6	13.6	18.8	1026.3	0.00	0.0	571	24.56	587	3.3	0.71	3.5	0.071	0.000	25.4	27	5.0	24.5	0.28	684	2	100.0	30
01/11/13	12:30	15.8	15.9	14.9	43	3.3	0.4	NW	0.80	1.8	NW	15.8	14.4	14.4	19.7	1026.0	0.00	0.0	597	25.67	606	3.7	0.79	3.8	0.052	0.000	26.2	26	5.2	25.0	0.00	684	2	100.0	30
01/11/13	13:00	17.1	17.1	15.8	40	3.3	0.4	NNW	0.80	1.8	W	17.1	15.6	15.6	20.9	1025.5	0.00	0.0	613	26.36	617	3.9	0.84	3.9	0.027	0.000	27.0	25	5.3	25.6	0.33	686	2	100.0	30
01/11/13	13:30	17.3	17.3	16.9	39	3.2	0.4	N	0.80	2.2	N	17.3	15.7	15.7	21.1	1024.9	0.00	0.0	614	26.41	617	3.9	0.84	3.9	0.022	0.000	27.8	25	6.0	26.4	0.00	686	2	100.0	30
