		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/10/13	0:30	21.9	21.9	21.7	79	18.1	0.4	ESE	0.80	2.2	E	21.9	22.7	22.7	21.4	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.075	28.3	46	15.6	28.6	0.00	641	2	96.1	30
01/10/13	1:00	21.4	22.2	21.4	82	18.2	0.4	NNE	0.80	2.2	NE	21.4	22.2	22.2	20.9	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	28.3	46	15.6	28.6	0.03	686	2	100.0	30
01/10/13	1:30	21.6	21.6	21.4	82	18.4	0.0	ENE	0.00	1.3	ENE	21.6	22.4	22.4	21.1	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.067	28.3	46	15.6	28.6	0.00	685	2	100.0	30
01/10/13	2:00	21.7	21.7	21.5	81	18.3	0.0	NW	0.00	1.3	NW	21.7	22.4	22.4	21.2	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	28.2	47	15.8	28.5	0.03	685	2	100.0	30
01/10/13	2:30	22.3	22.3	21.7	75	17.7	0.9	NNW	1.61	4.5	W	22.3	22.9	22.9	21.6	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.083	28.2	47	15.8	28.5	0.00	686	2	100.0	30
01/10/13	3:00	21.8	22.5	21.7	79	18.0	0.4	NE	0.80	4.5	W	21.8	22.4	22.4	21.2	1012.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.072	28.2	47	15.8	28.5	0.03	686	2	100.0	30
01/10/13	3:30	21.4	22.0	21.4	81	18.0	2.2	W	4.02	4.9	WNW	21.4	22.2	22.2	20.9	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.065	28.2	47	15.8	28.5	0.00	684	2	100.0	30
01/10/13	4:00	20.9	21.4	20.9	84	18.1	2.2	WNW	4.02	4.9	WNW	20.9	21.8	21.8	20.5	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.054	28.2	47	15.8	28.5	0.03	685	2	100.0	30
01/10/13	4:30	21.1	21.1	20.6	82	17.9	1.8	W	3.22	3.6	W	21.1	21.8	21.8	20.5	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.057	28.2	47	15.8	28.5	0.00	686	2	100.0	30
01/10/13	5:00	20.8	21.2	20.8	84	18.0	1.3	W	2.41	3.6	WNW	20.8	21.7	21.7	20.4	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.051	28.1	47	15.7	28.3	0.03	686	2	100.0	30
01/10/13	5:30	20.7	20.8	20.7	85	18.1	0.9	W	1.61	3.1	WSW	20.7	21.6	21.6	20.3	1012.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.049	28.1	47	15.7	28.3	0.00	684	2	100.0	30
01/10/13	6:00	20.2	20.7	20.2	88	18.2	0.4	NE	0.80	1.8	N	20.2	21.2	21.2	19.9	1012.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.039	28.1	47	15.7	28.3	0.03	685	2	100.0	30
01/10/13	6:30	20.0	20.2	20.0	89	18.1	0.9	E	1.61	2.7	E	20.0	20.9	20.9	19.7	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	28.1	47	15.7	28.3	0.00	685	2	100.0	30
01/10/13	7:00	20.0	20.1	20.0	89	18.1	0.4	E	0.80	1.3	E	20.0	20.9	20.9	19.7	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	28.1	47	15.7	28.3	0.03	683	2	100.0	30
01/10/13	7:30	19.9	20.0	19.8	90	18.2	0.4	E	0.80	2.2	E	19.9	20.8	20.8	19.6	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.032	28.1	47	15.7	28.3	0.00	686	2	100.0	30
01/10/13	8:00	19.8	20.0	19.8	90	18.1	0.4	NNE	0.80	1.3	NNE	19.8	20.7	20.7	19.4	1012.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	27.9	48	15.9	28.2	0.00	686	2	100.0	30
01/10/13	8:30	19.7	19.9	19.7	91	18.2	0.0	N	0.00	1.3	N	19.7	20.6	20.6	19.3	1012.7	0.00	0.0	3	0.13	12	0.0	0.00	0.0	0.000	0.028	27.7	51	16.6	28.1	0.00	686	2	100.0	30
01/10/13	9:00	19.9	20.0	19.7	89	18.1	0.0	NE	0.00	0.9	NE	19.9	20.8	20.8	20.9	1012.8	0.00	0.0	40	1.72	116	0.0	0.00	0.0	0.000	0.034	27.6	52	16.8	27.9	0.03	684	2	100.0	30
01/10/13	9:30	20.6	20.6	19.9	87	18.4	0.4	NW	0.80	1.3	WNW	20.6	21.7	21.7	23.6	1012.9	0.00	0.0	125	5.38	214	0.2	0.04	0.6	0.000	0.047	27.6	53	17.1	28.1	0.00	686	2	100.0	30
01/10/13	10:00	21.5	21.5	20.6	83	18.5	0.4	N	0.80	1.8	WNW	21.5	22.3	22.3	26.7	1013.0	0.00	0.0	278	11.96	374	0.8	0.17	1.1	0.000	0.066	27.8	53	17.3	28.4	0.13	685	2	100.0	30
01/10/13	10:30	22.6	22.6	21.4	78	18.5	0.9	NE	1.61	2.2	E	22.6	23.4	23.4	28.6	1013.0	0.00	0.0	378	16.26	531	1.5	0.32	2.0	0.000	0.088	27.9	52	17.2	28.6	0.00	684	2	100.0	30
